AUBL01000004_118	6159b2903e09da766d6fb94c6e056540	295	Pfam	PF00551	Formyl transferase	100	276	1.1E-35	T	07-07-2023	IPR002376	Formyl transferase, N-terminal
AUBL01000004_118	6159b2903e09da766d6fb94c6e056540	295	Pfam	PF01842	ACT domain	20	82	6.3E-10	T	07-07-2023	IPR002912	ACT domain
AUBL01000048_15	253f4ba3fe302aea6d201946624cf580	423	Pfam	PF07690	Major Facilitator Superfamily	31	381	6.6E-33	T	07-07-2023	IPR011701	Major facilitator superfamily
AUBL01000004_101	29f199d5186d9b8b6e79ef0b6232e38c	274	Pfam	PF00213	ATP synthase delta (OSCP) subunit	107	272	4.8E-22	T	07-07-2023	IPR000711	ATPase, OSCP/delta subunit
AUBL01000010_68	67be593e048b7db5f5a806a3891af0df	250	Pfam	PF04307	LexA-binding, inner membrane-associated putative hydrolase	1	242	2.7E-14	T	07-07-2023	IPR007404	LexA-binding, inner membrane-associated putative hydrolase
AUBL01000002_70	c43c48e0994e38a7bc87ce67a5486f74	99	Pfam	PF13490	Putative zinc-finger	10	40	8.1E-6	T	07-07-2023	IPR027383	Putative zinc-finger
AUBL01000024_41	c4b1b298826d9ec6531ae1a400a424dd	689	Pfam	PF02355	Protein export membrane protein	426	599	3.8E-12	T	07-07-2023	IPR022813	Protein-export membrane protein SecD/SecF, archaeal and bacterial
AUBL01000065_7	18be63df2c130566415bb496423b097a	555	Pfam	PF09481	CRISPR-associated protein Cse1 (CRISPR_cse1)	6	493	1.3E-112	T	07-07-2023	IPR013381	CRISPR-associated protein Cse1
AUBL01000010_39	7c0b9ac1389575a31b8b4690bb31f89b	353	Pfam	PF00528	Binding-protein-dependent transport system inner membrane component	106	278	2.8E-19	T	07-07-2023	IPR000515	ABC transporter type 1, transmembrane domain MetI-like
AUBL01000043_8	113450917501d00c6af348b91f744fa7	623	Pfam	PF03793	PASTA domain	456	518	1.9E-12	T	07-07-2023	IPR005543	PASTA domain
AUBL01000043_8	113450917501d00c6af348b91f744fa7	623	Pfam	PF03793	PASTA domain	523	587	1.0E-8	T	07-07-2023	IPR005543	PASTA domain
AUBL01000043_8	113450917501d00c6af348b91f744fa7	623	Pfam	PF03793	PASTA domain	390	450	7.0E-12	T	07-07-2023	IPR005543	PASTA domain
AUBL01000043_8	113450917501d00c6af348b91f744fa7	623	Pfam	PF00069	Protein kinase domain	13	271	4.2E-50	T	07-07-2023	IPR000719	Protein kinase domain
AUBL01000009_81	97aad075817ec6ed90a48e97e3f02c50	437	Pfam	PF00561	alpha/beta hydrolase fold	70	234	1.5E-16	T	07-07-2023	IPR000073	Alpha/beta hydrolase fold-1
AUBL01000010_24	363b0debc930385036849ea9d6490f2f	311	Pfam	PF01226	Formate/nitrite transporter	33	285	1.7E-41	T	07-07-2023	IPR000292	Formate/nitrite transporter
AUBL01000041_12	8ba2ee96ec8180f5554b5b57abbf0293	330	Pfam	PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	37	180	2.2E-23	T	07-07-2023	IPR001457	NADH:ubiquinone/plastoquinone oxidoreductase, chain 6
AUBL01000002_136	346563496aac19e0599e577efcc23471	234	Pfam	PF03719	Ribosomal protein S5, C-terminal domain	126	193	9.7E-28	T	07-07-2023	IPR005324	Small ribosomal subunit protein uS5, C-terminal
